id,rawName,website,sourceType,sourceName,sourceUrl,description,homepageText,careersText,lastActivityDate,country,stageHint,agentConfidence,precleanDecision,precleanReason,aiGenerated,aiProvider,aiModel,aiCompanyType,aiIsPotentialCustomer,aiIsBadLead,aiBadLeadReason,aiIcpFit,aiBuyingStage,aiSignals,aiIntentScore,aiScoreReasoning,aiWhyNow,aiRecommendedBuyer,aiOutreachAngle
"jobicy_144082","Customer.io","https://jobicy.com/jobs/144082-outbound-business-development-manager","careers_page","Jobicy","https://jobicy.com/jobs/144082-outbound-business-development-manager","Hiring for an Outbound Business Development Manager role directly indicates a need for outbound sales support and appointment setting services. The company is actively looking to expand its go-to-market efforts.","Customer.io is hiring for Outbound Business Development Manager. Industry: Business Development","Outbound Business Development Manager. About Customer.ioOver 9,000 companies — from scrappy startups to global brands — use our platform to send billions of emails, push notifications, in-app messages, and SMS every day. Customer.io powers.... About Customer.io Over 9,000 companies — from scrappy startups to global brands — use our platform to send billions of emails, push notifications, in-app messages, and SMS every day. Customer.io powers automated communication that people actually want to receive. We help teams send smarter, more relevant messages using real-time behavioral data. About the role Hi, I'm Rebekah Fellinger, Senior BDR Manager here at Customer.io , and I'm thrilled to be expanding. We’re looking for an Outbound BDR to join our team and help us connect with potential customers. As an Outbound BDR, you’ll be at the forefront of our outreach efforts — proactively identifying and engaging potential customers, researching target accounts, initiating conversations, and qualifying leads for our Account Executives. You’ll collaborate closely with both marketing and sales to make sure our outreach strategies are effective and building a strong pipeline. We don’t expect you to be an expert from day one. What matters most is your curiosity, your passion for connecting with people, and your commitment to driving new business growth. Our team will support you as you learn and develop in your role. What we value Curiosity — you’re always looking for ways to improve and learn Clear communication — you can articulate ideas concisely and compellingly Resilience — you stay","2026-06-18","EMEA","real_public_job_posting","0.82","accepted","has_growth_or_gtm_signal","true","gemini","gemini-2.5-flash-lite","b2b_saas","true","false","","high","high_intent","hiring_outbound_bdr; growth_hiring; gtm_expansion","90","Hiring for an Outbound Business Development Manager role directly indicates a need for outbound sales support and appointment setting services. The company is actively looking to expand its go-to-market efforts.","Customer.io is actively hiring for an Outbound Business Development Manager, signaling an immediate need to build out their outbound sales function and pipeline.","VP of Sales, Head of Sales Development, Director of Sales, Sales Manager, Senior BDR Manager","Congratulate Customer.io on their expansion and offer to help their new Outbound BDR team hit the ground running by providing qualified leads and appointment setting services to accelerate their pipeline growth."
"jobicy_144507","One Model","https://jobicy.com/jobs/144507-senior-business-development-representative","careers_page","Jobicy","https://jobicy.com/jobs/144507-senior-business-development-representative","Hiring for a senior BDR role indicates a strong need for outbound sales support and appointment setting. The mention of 'continuous growth in the European market' and 'expanding our business' further reinforces this. The job description explicitly mentions prospecting, qualifying outbound opportunities, and creating outbound strategies, aligning perfectly with our services.","One Model is hiring for Senior Business Development Representative. Industry: Business Development","Senior Business Development Representative. To support One Model&#8217;s continuous growth in the European market, we are seeking a dynamic and ambitious Enterprise Business Development Representative (BDR) to contribute to expanding our business. Reporting to.... To support One Model's continuous growth in the European market, we are seeking a dynamic and ambitious Enterprise Business Development Representative (BDR) to contribute to expanding our business. Reporting to the Director of Business Development, the BDR will be crucial in generating new business opportunities and navigating the sales cycle, primarily with large enterprises and rapidly growing companies. We want you on our team if you possess an entrepreneurial mindset, strong technical proficiency, and enjoy building relationships. Responsibilities Prospect and qualify outbound and inbound sales opportunities via cold calling, cold emailing, and social selling. Create and execute on an effective outbound strategy in partnership with your Account Executive to win more deals. Own your territory and approach your day to day as an Account Executive, providing weekly updates on targeted accounts, ongoing campaigns, and metric attainment to Sales Leadership and Account Executives. Cultivate relationships with various external stakeholders meeting our business standards to book new meetings for sales representatives successfully. Identify and comprehend prospects' challenges and requirements, aligning them with the value and features of One Model's offerings. Work to ensure that booked meetings become held meetings an","2026-05-22","UK","real_public_job_posting","0.82","accepted","has_growth_or_gtm_signal","true","gemini","gemini-2.5-flash-lite","b2b_saas","true","false","","high","high_intent","hiring for sales role; growth signal; international expansion","90","Hiring for a senior BDR role indicates a strong need for outbound sales support and appointment setting. The mention of 'continuous growth in the European market' and 'expanding our business' further reinforces this. The job description explicitly mentions prospecting, qualifying outbound opportunities, and creating outbound strategies, aligning perfectly with our services.","One Model is actively expanding into the European market and is hiring to support this growth, indicating a current need for enhanced sales development efforts.","Director of Business Development, VP of Sales, Head of Sales Development","Focus on how our appointment-setting services can accelerate their European market expansion by filling their sales pipeline with qualified enterprise leads, complementing their new BDR hire."
"adzuna_us_5766986551","Nelson Elder Care Law","https://www.adzuna.com/details/5766986551?utm_medium=api&utm_source=7b8876be","careers_page","Adzuna Jobs API","https://www.adzuna.com/details/5766986551?utm_medium=api&utm_source=7b8876be","Hiring for a revenue-focused Business Development Specialist role that involves building partnerships, generating qualified consultations, and closing deals, indicating a strong focus on growth and sales.","Nelson Elder Care Law is hiring for Business Development Specialist. Job source: Adzuna. Category: Sales Jobs","Business Development Specialist. We are seeking a high-performing , revenue-focused Business Development professional to build, activate, and convert strategic referral partnerships into measurable client growth. You will identify and onboard referral partners, generate qualified consultations, and personally close referred clients at a 65% conversion target. You will own the process from first outreach to a signed engagement agreement. If you thrive on building meaningful partnerships AND driving revenue, then this role is fo…","2026-06-17","Gainesville, Hall County","free_key_job_api_signal","0.82","accepted","has_growth_or_gtm_signal","true","gemini","gemini-2.5-flash-lite","healthcare","true","false","","high","high_intent","hiring_sales_role; revenue_focused_hiring","90","Hiring for a revenue-focused Business Development Specialist role that involves building partnerships, generating qualified consultations, and closing deals, indicating a strong focus on growth and sales.","The company is actively hiring for a role focused on driving client growth through strategic partnerships and direct sales, suggesting an immediate need to expand their customer base and revenue.","Head of Sales, Director of Business Development, Managing Partner, CEO","Focus on how our appointment-setting services can help Nelson Elder Care Law's new Business Development Specialist by providing a consistent flow of qualified leads and consultations, allowing them to focus on closing deals and achieving their revenue targets."
"jobicy_144517","Keyfactor","https://jobicy.com/jobs/144517-svp-business-development","careers_page","Jobicy","https://jobicy.com/jobs/144517-svp-business-development","Hiring a senior business development leader indicates a strong focus on growth and expansion, making them a prime candidate for sales support.","Keyfactor, Inc. is hiring for SVP, Business Development. Industry: Business Development AI why now: The company is actively investing in its business development leadership, suggesting a current strategic push for new markets or revenue streams. AI outreach angle: Focus on how outbound sales support can accelerate the new initiatives driven by the SVP of Business Development, emphasizing lead generation and pipeline acceleration for their growth objectives. AI signals: hiring SVP Business Development","SVP, Business Development. About Keyfactor Our mission is to build a connected society, rooted in trust, with identity-first security for every machine and human. Keyfactor helps organizations move fast to establish digital trust.... About Keyfactor Our mission is to build a connected society, rooted in trust, with identity-first security for every machine and human. Keyfactor helps organizations move fast to establish digital trust at scale — and then maintain it. With decades of cybersecurity experience, Keyfactor is trusted by more than 1,500 companies across the globe. We are proud to continually earn recognition as a Best Place to Work, and we achieve that through our amazing people who cultivate our culture as we grow. We hope you will trust your future with Keyfactor! T itle: SVP, Business Development Location: UK; Remote or Switzerland; Zurich (hybrid) Experience: Senior Job Function: Sales Employment Type: Full-time Industry: Computer Network & Security Job Summary The Senior Vice President, Business Development is responsible for driving strategic revenue growth through enterprise expansion, strategic partnerships, and go-to-market initiatives. This role leads the development and execution of business development strategies, manages complex commercial engagements, and builds executive-level relationships that support long-term business objectives. The SVP, Business Development partners cross-functionally to align growth initiatives, expand market opportunities, and drive measurable business outcomes. This role requires extensive experience in enterprise software,","2026-05-22","Switzerland","real_public_job_posting","0.82","accepted","has_growth_or_gtm_signal","true","gemini","gemini-2.5-flash-lite","b2b_software","true","false","","high","high_intent","hiring SVP Business Development","88","Hiring a senior business development leader indicates a strong focus on growth and expansion, making them a prime candidate for sales support.","The company is actively investing in its business development leadership, suggesting a current strategic push for new markets or revenue streams.","SVP, Business Development; VP, Sales; Head of Revenue Operations","Focus on how outbound sales support can accelerate the new initiatives driven by the SVP of Business Development, emphasizing lead generation and pipeline acceleration for their growth objectives."
"jobicy_144384","Webbing","https://jobicy.com/jobs/144384-head-of-sales-americas","careers_page","Jobicy","https://jobicy.com/jobs/144384-head-of-sales-americas","Hiring a Head of Sales for a specific region indicates a strategic focus on expanding market share and revenue in that area, requiring robust sales support.","Webbing is hiring for Head of Sales Americas. Industry: Sales AI why now: The company is building out its sales leadership for a key region, signaling an immediate need to ramp up sales efforts and pipeline generation. AI outreach angle: Highlight how outbound appointment setting can quickly fill the pipeline for the new Head of Sales Americas, enabling them to hit regional targets faster and demonstrate early success. AI signals: hiring Head of Sales Americas","Head of Sales Americas. DescriptionAbout WebbingWhen connectivity fails, it’s not an inconvenience—it’s a risk.Webbing delivers carrier-grade, software-driven, AI-powered global cellular connectivity for mission-critical environments—where data, applications, and decisions must always be secure, reliable, and.... Description About Webbing When connectivity fails, it’s not an inconvenience—it’s a risk. Webbing delivers carrier-grade, software-driven, AI-powered global cellular connectivity for mission-critical environments—where data, applications, and decisions must always be secure, reliable, and available. We enable seamless connectivity across 600+ mobile networks in 190+ countries, powering enterprises, devices, and AI systems at global scale. The Role We are hiring a hands-on sales leader to build, run, and scale the Americas business. This is a high-impact role in a fast-paced environment, requiring a leader who can operate at both strategic and execution levels—leading teams, shaping deals, and driving consistent growth. You will work across geographically dispersed customers, partners, and internal teams, ensuring alignment and execution across Sales, Systems Engineering, Marketing, and Customer Success. What You’ll Do · Own and drive revenue growth across the Americas · Define and execute go-to-market and expansion strategy · Partner with your team to shape and close strategic deals, stepping in to lead key opportunities · Build and scale a high-performing enterprise sales team with a growth mindset · Drive a high-velocity closing culture across acquisition and exp","2026-05-21","USA","real_public_job_posting","0.82","accepted","has_growth_or_gtm_signal","true","gemini","gemini-2.5-flash-lite","b2b_saas","true","false","","high","high_intent","hiring Head of Sales Americas","85","Hiring a Head of Sales for a specific region indicates a strategic focus on expanding market share and revenue in that area, requiring robust sales support.","The company is building out its sales leadership for a key region, signaling an immediate need to ramp up sales efforts and pipeline generation.","Head of Sales Americas; VP of Sales; Chief Revenue Officer","Highlight how outbound appointment setting can quickly fill the pipeline for the new Head of Sales Americas, enabling them to hit regional targets faster and demonstrate early success."
"jobicy_145927","SOCi","https://jobicy.com/jobs/145927-sales-development-representative-5","careers_page","Jobicy","https://jobicy.com/jobs/145927-sales-development-representative-5","Actively hiring SDRs and being a leader in AI-powered marketing solutions for multi-location businesses shows a strong growth trajectory and a need for consistent lead generation.","SOCi is hiring for Sales Development Representative. Industry: Sales AI why now: The company is expanding its sales development team, indicating a current focus on scaling outbound efforts and capturing new market opportunities. AI outreach angle: Position outbound sales support as a way to supercharge their existing SDR efforts, providing a consistent flow of qualified leads to accelerate their rapid growth and market leadership. AI signals: hiring Sales Development Representative, AI-powered marketing solutions","Sales Development Representative. SOCi, the leader in AI-powered marketing solutions for multi-location businesses, is currently looking for a Sales Development Representative to join our growing team to help us achieve our next stage.... SOCi, the leader in AI-powered marketing solutions for multi-location businesses, is currently looking for a Sales Development Representative to join our growing team to help us achieve our next stage of rapid growth. Our Sales Development Representatives are paving the path to the future for SOCi and are considered the next wave of account executives at SOCi. Being an SDR is the perfect way to accelerate a successful career in sales. Our SDR team works closely with our partners in both sales and marketing to create fanatical customer enthusiasm. SDR reps are responsible for identifying, qualifying, and closing new opportunities for our sales organization alongside our Account Executives. SDRs at SOCi have a natural career path to becoming Account Executives and beyond. SOCi expects to pay a base salary of $50,000 to $60,000 USD base plus bonuses/commission. Within the range, individual pay is determined by factors such as job-related skills, experience, and relevant education or training. Who We Are SOCi is the leader in AI-powered marketing solutions for multi-location businesses. With its proprietary Genius AI™ and suite of Genius Agents™, SOCi provides a first-of-its-kind, AI-powered digital workforce capable of handling the workload of 1,000 local marketers™, empowering brands to achieve unmatched digital visibility, strengthen custom","2026-06-10","USA","real_public_job_posting","0.82","accepted","has_growth_or_gtm_signal","true","gemini","gemini-2.5-flash-lite","b2b_saas","true","false","","high","high_intent","hiring Sales Development Representative; AI-powered marketing solutions","92","Actively hiring SDRs and being a leader in AI-powered marketing solutions for multi-location businesses shows a strong growth trajectory and a need for consistent lead generation.","The company is expanding its sales development team, indicating a current focus on scaling outbound efforts and capturing new market opportunities.","VP of Sales; Director of Sales Development; Chief Revenue Officer","Position outbound sales support as a way to supercharge their existing SDR efforts, providing a consistent flow of qualified leads to accelerate their rapid growth and market leadership."
"jobicy_146679","HealthPoint","https://jobicy.com/jobs/146679-business-development-specialist","careers_page","Jobicy","https://jobicy.com/jobs/146679-business-development-specialist","Hiring for business development and focusing on digital advertising solutions suggests a need for growth, but the specific role might be more focused on strategy than direct sales execution.","HealthPoint is hiring for Business Development Specialist. Industry: Business Development AI why now: The company is actively seeking to identify and cultivate new sales opportunities in digital advertising, indicating a current push for market expansion. AI outreach angle: Offer support in identifying and engaging potential clients for their digital advertising solutions, helping the Business Development Specialist to build a stronger pipeline and accelerate market penetration. AI signals: hiring Business Development Specialist, performance-oriented digital advertising solutions","Business Development Specialist. Identify and Cultivate New Sales Opportunities: Research and identify potential clients and new market segments that can benefit from our performance-oriented digital advertising solutions. Develop strategies to engage with these.... Identify and Cultivate New Sales Opportunities: Research and identify potential clients and new market segments that can benefit from our performance-oriented digital advertising solutions. Develop strategies to engage with these prospects effectively. Sales and Relationship Management: Utilize your sales expertise to connect with potential clients, understand their unique marketing challenges, and position our digital marketing strategies as the 'best-fit' to drive the clients' desired business outcomes. Build and maintain strong, long-lasting customer relationships to foster loyalty and repeat business. Sales Process: Guide customers through the entire sales process--from initial contact, to proposal development and presentation, to negotiation and purchase--ensuring smooth communication and addressing any concerns or inquiries they may have along the way. Goal-Oriented Approach: Set ambitious sales and revenue targets and work diligently to achieve and exceed them. Monitor and analyze sales data, identifying opportunities for growth and improvement. In-Person and Virtual Meetings: Conduct both in-person and virtual appointments with clients, understanding their unique challenges and goals and effectively demonstrating our ability to meet and exceed their goals. Problem-Solving: Demonstrate a keen ability to a","2026-06-16","USA","real_public_job_posting","0.82","accepted","has_growth_or_gtm_signal","true","gemini","gemini-2.5-flash-lite","healthcare","true","false","","medium","medium_intent","hiring Business Development Specialist; performance-oriented digital advertising solutions","65","Hiring for business development and focusing on digital advertising solutions suggests a need for growth, but the specific role might be more focused on strategy than direct sales execution.","The company is actively seeking to identify and cultivate new sales opportunities in digital advertising, indicating a current push for market expansion.","Director of Business Development; VP of Marketing; Head of Sales","Offer support in identifying and engaging potential clients for their digital advertising solutions, helping the Business Development Specialist to build a stronger pipeline and accelerate market penetration."
"jobicy_145603","Agilent Technologies","https://jobicy.com/jobs/145603-service-sales","careers_page","Jobicy","https://jobicy.com/jobs/145603-service-sales","Hiring for a specific sales role focused on products and solutions for pharmaceutical and biopharmaceutical customers indicates a direct need for sales support to drive revenue.","Agilent Technologies is hiring for Service Sales. Industry: Sales AI why now: The company is actively seeking to grow revenue within specific customer segments (pharma/biopharma) and territories, suggesting a current focus on sales expansion. AI outreach angle: Focus on how outbound sales support can help generate new sales opportunities and drive revenue growth for their CrossLab Services within the assigned territory. AI signals: hiring Service Sales, selling Agilent products and solutions","Service Sales. Job DescriptionResponsible for selling Agilent products and solutions, including CrossLab Services, to pharmaceutical and biopharmaceutical end-user customers.Acts as the primary interface between Agilent and customers, representing the company to customers.... Job Description Responsible for selling Agilent products and solutions , including CrossLab Services , to pharmaceutical and biopharmaceutical end-user customers . Acts as the primary interface between Agilent and customers, representing the company to customers and customers to the company in all sales-related activities. Drives revenue growth by generating new and existing sales opportunities within assigned named accounts and/or territory , primarily in the Chungcheong (충청) Province . Develops and executes account strategies for pharma, biopharma, API, and CDMO customers , aligned with Agilent’s business objectives. Promotes and sells Agilent products, systems, software, and services; proactively informs customers of new product introductions and regulatory-related solutions . Identifies customer needs related to QC, QA, R&D, and manufacturing environments , and positions appropriate Agilent solutions. Creates, monitors, and continuously improves lead generation and opportunity pipeline plans . Builds and maintains strong, long-term relationships with key decision makers and influencers at customer sites. Ensures high customer satisfaction through professional sales engagement and collaboration with internal teams. Encourages customer utilization of Agilent digital tools and online sales platforms ,","2026-06-05","South Korea","real_public_job_posting","0.82","accepted","has_growth_or_gtm_signal","true","gemini","gemini-2.5-flash-lite","enterprise","true","false","","high","high_intent","hiring Service Sales; selling Agilent products and solutions","80","Hiring for a specific sales role focused on products and solutions for pharmaceutical and biopharmaceutical customers indicates a direct need for sales support to drive revenue.","The company is actively seeking to grow revenue within specific customer segments (pharma/biopharma) and territories, suggesting a current focus on sales expansion.","Service Sales Manager; Regional Sales Director; VP of Sales","Focus on how outbound sales support can help generate new sales opportunities and drive revenue growth for their CrossLab Services within the assigned territory."
"adzuna_us_5747327557","Lamar Advertising Company","https://www.adzuna.com/details/5747327557?utm_medium=api&utm_source=7b8876be","careers_page","Adzuna Jobs API","https://www.adzuna.com/details/5747327557?utm_medium=api&utm_source=7b8876be","Hiring for Business Development and focusing on advertising sales indicates a need for growth, but the role might be more focused on client relationships than initial lead generation.","Lamar Advertising Company is hiring for Business Development. Job source: Adzuna. Category: Sales Jobs AI why now: The company is actively looking for an Account Executive to drive innovative outdoor advertising campaigns, suggesting a current focus on expanding their client base. AI outreach angle: Offer to support their sales team by generating qualified leads for new outdoor advertising campaigns, helping them connect with more brands in their target markets. AI signals: hiring Business Development, outdoor advertising campaigns","Business Development. Are you in search of a workplace that thrives on community connections through advertising? If so, we’d love to have you join our sales team! We need someone who understands the connection between marketing and sales and genuinely gets excited with each and every sale - big or small. Our Lamar office in Rocky Mount, North Carolina is now hiring a new Account Executive to help us bring innovative outdoor advertising campaigns to life for brands in Rocky Mount, NC, and the surrounding areas. The …","2026-06-01","Sharpsburg, Wilson County","free_key_job_api_signal","0.82","accepted","has_growth_or_gtm_signal","true","gemini","gemini-2.5-flash-lite","enterprise","true","false","","medium","medium_intent","hiring Business Development; outdoor advertising campaigns","68","Hiring for Business Development and focusing on advertising sales indicates a need for growth, but the role might be more focused on client relationships than initial lead generation.","The company is actively looking for an Account Executive to drive innovative outdoor advertising campaigns, suggesting a current focus on expanding their client base.","Sales Manager; Director of Business Development; VP of Sales","Offer to support their sales team by generating qualified leads for new outdoor advertising campaigns, helping them connect with more brands in their target markets."
"adzuna_us_5758776388","Robert Dietrick Co., Inc.","https://www.adzuna.com/details/5758776388?utm_medium=api&utm_source=7b8876be","careers_page","Adzuna Jobs API","https://www.adzuna.com/details/5758776388?utm_medium=api&utm_source=7b8876be","Hiring Business Development Representatives specifically to expand market presence and engage net-new prospects is a strong indicator of a need for outbound sales support.","Robert Dietrick Co., Inc. is hiring for Business Development Representative. Job source: Adzuna. Category: Sales Jobs AI why now: The company is actively building its BDR team to proactively identify and engage new prospects, signaling an immediate need to scale lead generation efforts. AI outreach angle: Position outbound appointment setting as a direct way to feed the new BDR team with high-quality leads, accelerating their market expansion and new prospect engagement. AI signals: hiring Business Development Representative, expanding market presence","Business Development Representative. Description: Territory Coverage: Partner with up to four Territory Representatives Reporting Structure: Reports to Customer Success Manager Career Path: This role is designed as a feeder into Territory Sales Representative positions Salary: $59,000/year Summary As a Business Development Representative (BDR) at Robert Dietrick Company, you will play a key role in expanding our market presence by proactively identifying and engaging net-new prospects within your assigned region. Your primary obje…","2026-06-10","North Park, Vanderburgh County","free_key_job_api_signal","0.82","accepted","has_growth_or_gtm_signal","true","gemini","gemini-2.5-flash-lite","unknown","true","false","","high","high_intent","hiring Business Development Representative; expanding market presence","90","Hiring Business Development Representatives specifically to expand market presence and engage net-new prospects is a strong indicator of a need for outbound sales support.","The company is actively building its BDR team to proactively identify and engage new prospects, signaling an immediate need to scale lead generation efforts.","Director of Sales; VP of Sales; Head of Business Development","Position outbound appointment setting as a direct way to feed the new BDR team with high-quality leads, accelerating their market expansion and new prospect engagement."
