id,rawName,website,sourceType,sourceName,sourceUrl,description,homepageText,careersText,lastActivityDate,country,estimatedSize,stageHint,agentConfidence,expectedCategory,expectedTrashReason
raw_0001,RevenueLoopBrand,https://revenueloopbrand.com,funding_news,Startup Funding Digest,https://example-funding-digest.com/startups/revenueloopbrand-1,RevenueLoopBrand is a creative design and marketing services agency.,"RevenueLoopBrand is a creative agency offering branding, web design, landing pages, content, and visual identity services for startups.",,2026-05-21,Canada,51-200,Bootstrapped,84,agency_or_service_provider,Not ICP: agency/service provider
raw_0002,RevenueFlow,https://revenueflow.io,funding_news,Venture Update Feed,https://example-funding-digest.com/startups/revenueflow-2,"RevenueFlow is a B2B SaaS company building software for sales, revenue, and operations teams.","RevenueFlow helps growing B2B companies automate sales workflows, manage pipeline, and create qualified opportunities for account executives.",,2026-04-02,US,201-500,Series A,68,qualified_candidate,
raw_0003,RevenueFlow AI,https://www.revenueflow.io,careers_page,Public Career Page Scan,https://jobs.example-ats.com/revenueflow-3,"RevenueFlow is a B2B SaaS company building software for sales, revenue, and operations teams.","RevenueFlow helps growing B2B companies automate sales workflows, manage pipeline, and create qualified opportunities for account executives.","Open roles: Sales Development Representative, Account Executive, and RevOps Manager.",2026-04-02,US,201-500,Series A,94,qualified_candidate,
raw_0004,LedgerHubDormant,https://ledgerhubdormant.com,conference,B2B Revenue Conference Booth Directory,https://example-saas-growth-summit.com/exhibitors/ledgerhubdormant-4,LedgerHubDormant is an old startup listing from a previous event.,404 not found.,,2019-04-25,India,1-10,Unknown,94,dead_or_stale,Dead/stale/parked company
raw_0005,LeadGrid,https://leadgrid.dev,funding_news,Growth Capital Brief,https://example-funding-digest.com/startups/leadgrid-5,"LeadGrid is a B2B SaaS company building software for sales, revenue, and operations teams.","LeadGrid is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.",,2026-06-03,Australia,11-50,Series B,84,qualified_candidate,
raw_0006,LeadGrid AI,https://www.leadgrid.dev,accelerator,SeedLaunch Accelerator Batch,https://example-seedlaunch.com/batch/leadgrid-6,"LeadGrid is a B2B SaaS company building software for sales, revenue, and operations teams.","LeadGrid is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.",,2026-06-03,Australia,11-50,Series B,89,qualified_candidate,
raw_0007,ForecastFlow,https://forecastflow.io,startup_directory,B2B Tools Index,https://example-startup-directory.com/company/forecastflow-7,"ForecastFlow is a B2B SaaS company building software for sales, revenue, and operations teams.","ForecastFlow is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.","Hiring: VP Sales, Account Executive, Partnerships Manager, and Revenue Operations Analyst.",2026-05-14,Australia,201-500,Series B,89,qualified_candidate,
raw_0008,DataFlow,https://dataflow.app,funding_news,Seed Round News Feed,https://example-funding-digest.com/startups/dataflow-8,"DataFlow is a B2B SaaS company building software for sales, revenue, and operations teams.","DataFlow helps growing B2B companies automate sales workflows, manage pipeline, and create qualified opportunities for account executives.",,2026-03-17,UK,11-50,Unknown,89,qualified_candidate,
raw_0009,PipelinePath,https://pipelinepath.ai,careers_page,GTM Job Feed,https://jobs.example-ats.com/pipelinepath-9,"PipelinePath is a B2B SaaS company building software for sales, revenue, and operations teams.","PipelinePath gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.","Hiring: VP Sales, Account Executive, Partnerships Manager, and Revenue Operations Analyst.",2026-05-15,US,11-50,Series B,89,qualified_candidate,
raw_0010,LeadLayer,https://leadlayer.io,accelerator,ScaleBridge Accelerator Portfolio,https://example-seedlaunch.com/batch/leadlayer-10,"LeadLayer is a B2B SaaS company building software for sales, revenue, and operations teams.","LeadLayer gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.",,2026-04-25,Netherlands,51-200,Series B,62,qualified_candidate,
raw_0011,DealLayerLegacy,https://deallayerlegacy.com,careers_page,Revenue Hiring Monitor,https://jobs.example-ats.com/deallayerlegacy-11,DealLayerLegacy is an old startup listing from a previous event.,Parked domain. Buy this domain today.,,2021-10-03,Netherlands,11-50,Unknown,84,dead_or_stale,Dead/stale/parked company
raw_0012,RevenueIQFood,https://revenueiqfood.com,careers_page,Public Career Page Scan,https://jobs.example-ats.com/revenueiqfood-12,"RevenueIQFood is a consumer or local business, not a B2B SaaS buyer.","RevenueIQFood is a consumer-focused local business providing lifestyle services, bookings, and retail experiences.",,2026-01-05,India,1-10,Unknown,89,irrelevant_business,Not ICP: irrelevant business
raw_0013,LeadEngineRetail,https://leadengineretail.com,funding_news,Seed Round News Feed,https://example-funding-digest.com/startups/leadengineretail-13,"LeadEngineRetail is a consumer or local business, not a B2B SaaS buyer.","LeadEngineRetail is a consumer-focused local business providing lifestyle services, bookings, and retail experiences.",,2026-02-09,UK,51-200,Unknown,68,irrelevant_business,Not ICP: irrelevant business
